name,latitude,longitude,region,population
Bourg-lès-Valence,44.9475,4.8953,Auvergne-Rhône-Alpes,19889
Chevilly-Larue,48.7664,2.3533,Île-de-France,19863
Chilly-Mazarin,48.7025,2.3125,Île-de-France,19858
Bressuire,46.84,-0.4886,Nouvelle-Aquitaine,19733
Saint-Dié-des-Vosges,48.2842,6.9492,Grand Est,19724
L’Isle-sur-la-Sorgue,43.9194,5.0514,Provence-Alpes-Côte d’Azur,19706
Bouguenais,47.1775,-1.6214,Pays de la Loire,19658
Sceaux,48.7786,2.2906,Île-de-France,19606
Moulins,46.5647,3.3325,Auvergne-Rhône-Alpes,19563
La Chapelle-sur-Erdre,47.2989,-1.5528,Pays de la Loire,19526
Joinville-le-Pont,48.8214,2.4728,Île-de-France,19516
Concarneau,47.8753,-3.9189,Bretagne,19502
Mougins,43.6,6.9947,Provence-Alpes-Côte d’Azur,19489
Ronchin,50.6047,3.0878,Hauts-de-France,19477
Sélestat,48.2594,7.4542,Grand Est,19360
Mont-Saint-Aignan,49.4625,1.0872,Normandie,19262
Saint-Fons,45.7086,4.8533,Auvergne-Rhône-Alpes,19254
Albertville,45.6758,6.3925,Auvergne-Rhône-Alpes,19214
Le Puy-en-Velay,45.0433,3.885,Auvergne-Rhône-Alpes,19061
Saint-Lô,49.1144,-1.0917,Normandie,19024
Riom,45.8936,3.1125,Auvergne-Rhône-Alpes,19011
Saint-Cyr-l’École,48.8003,2.0625,Île-de-France,19011
Lingolsheim,48.5575,7.6831,Grand Est,18930
Plaisance-du-Touch,43.5656,1.2964,Occitanie,18888
Villefontaine,45.6133,5.1486,Auvergne-Rhône-Alpes,18808
Sorgues,44.0083,4.8725,Provence-Alpes-Côte d’Azur,18802
Vence,43.7225,7.1119,Provence-Alpes-Côte d’Azur,18670
Cognac,45.6958,-0.3292,Nouvelle-Aquitaine,18628
Hem,50.6553,3.1878,Hauts-de-France,18621
Écully,45.7744,4.7775,Auvergne-Rhône-Alpes,18587
